"gene","Biomarker_TSS_Start","Biomarker_TSS_End","Chromosome_edit"
"PRKAB1","119667864","119681624","12"
"PNPT1","55634061","55693863","2"
"ARTN","43933320","43937240","1"
"RABGAP1L","174159410","174995308","1"
"NCLN","3185563","3209575","19"
"IL22RA1","24119771","24143140","1"
"IL2RB","37118666","37175118","22"
"MYO9B","17075777","17214537","19"
"AOC1","150824627","150861504","7"
"IL20","206865623","206869223","1"
"RGS8","182641816","182684587","1"
"IL11","55364382","55370463","19"
"IL17F","52236681","52245689","6"
"SCGN","25652201","25701783","6"
"CXCL14","135570679","135579279","5"
"MVK","109573255","109598125","12"
"WNT9A","227918656","227947932","1"
"IL3RA","1336616","1382689","X"
"SIT1","35649295","35650931","9"
"FXYD5","35154730","35169881","19"
"CXCL12","44370165","44386493","10"
"NRTN","5805067","5828324","19"
"DGKZ","46332905","46380554","11"
"PADI2","17066761","17119451","1"
"PRKCQ","6427143","6580301","10"
"IL17A","52186375","52190638","6"
"NFATC3","68084751","68229259","16"
"GALNT3","165747588","165794659","2"
"IL5","132541445","132556838","5"
"TANK","161136908","161236230","2"
"SPRY2","80335976","80341126","13"
"TPT1","45333471","45341284","13"
"IL17C","88638572","88640468","16"
"YTHDF3","63168553","63212786","8"
"WAS","48676596","48691431","X"
"TNFRSF13C","41922032","41926806","22"
"IL17D","20702127","20723098","13"
"MILR1","64449037","64468643","17"
"PRDX3","119167720","119178812","10"
"ICA1","8113184","8262687","7"
"IRAK1","154010506","154019902","X"
"IL12RB1","18058995","18098944","19"
"IL1RL2","102187006","102240002","2"
"IL1A","112773925","112784493","2"
"GBP2","89106132","89150456","1"
"FGF5","80266639","80336680","4"
"CSF3","40015361","40017813","17"
"AMN","102922663","102933596","14"
"ITGB6","160099667","160200313","2"
"JCHAIN","70655541","70681817","4"
"IFNG","68154768","68159740","12"
"SLAMF1","160608106","160647044","1"
"ENAH","225486765","225653142","1"
"IL15RA","5943639","5978187","10"
"PARP1","226360210","226408154","1"
"FABP9","81458253","81461579","8"
"SRPK2","105110704","105399308","7"
"FGF2","122826682","122898236","4"
"ITM2A","79360384","79367667","X"
"BACH1","29194071","29630751","21"
"IFNLR1","24154168","24187959","1"
"TRAF2","136881912","136926607","9"
"SULT2A1","47870467","47886315","19"
"SPINK4","33218365","33248567","9"
"NUB1","151341772","151378449","7"
"PSPN","6375148","6379058","19"
"ALDH3A1","19737984","19748943","17"
"BCL2L11","111119378","111168445","2"
"SH2D1A","124227868","124373197","X"
"FOXO1","40555667","40666641","13"
"VASH1","76761468","76783015","14"
"BID","17734138","17774770","22"
"METAP1D","171999943","172082430","2"
"HLA-DRA","32388087","32520425","6"
"TBC1D5","17157162","18444817","3"
"EPO","100720468","100723700","7"
"CCL7","34270221","34272242","17"
"DAPP1","99816827","99870190","4"
"EDAR","108894471","108989372","2"
"TRIM5","5663195","5938619","11"
"DPP10","114442299","115845780","2"
"ITGA6","172427354","172506459","2"
"FCRL6","159800511","159816257","1"
"LSP1","1850904","1892267","11"
"STX8","9250471","9576591","17"
"HLA-E","30478970","30572668","6"
"TRIM21","4384897","4393702","11"
"PSIP1","15464066","15510995","9"
"IL7","78675743","78805523","8"
"SAMD9L","93130056","93148385","7"
"SIGLEC10","51410020","51417803","19"
"ISM1","13221274","13300651","20"
"SLC39A5","56230049","56237846","12"
"BTN3A2","26365159","26378320","6"
"MLN","33794673","33804003","6"
"SCRN1","29920104","29990289","7"
"PROK1","110451149","110457358","1"
"IKBKG","154541199","154565046","X"
"NFATC1","79395856","79529325","18"
"CCL26","75769533","75789896","7"
"CLEC4C","7729383","7751605","12"
"CEACAM21","41549518","41595186","19"
"PSMG3","1567332","1571005","7"
"COL9A1","70216040","70303084","6"
"GOPC","117560269","117602542","6"
"MAP2K6","69414697","69553865","17"
"NT5C3A","33014130","33062796","7"
"ARHGEF12","120336413","120489937","11"
"CASP2","143288215","143307696","7"
"CNTNAP2","146116002","148420998","7"
"MAPK9","180233143","180292099","5"
"BCR","23179704","23318037","22"
"CLIP2","74289407","74405935","7"
"SELPLG","108621895","108633894","12"
"CXADR","17513043","17593579","21"
"IL15","141636583","141733987","4"
"FCAR","54545136","54961872","19"
"CD83","14117256","14136918","6"
"NCR1","54576966","54981465","19"
"NCF2","183554461","183590905","1"
"NPPC","231921809","231926396","2"
"CCL28","43376645","43412391","5"
"PTX3","157436850","157443633","3"
"PTH1R","46877721","46903799","3"
"EGLN1","231363751","231422287","1"
"CLEC4A","8123617","8138607","12"
"OSM","30262829","30266851","22"
"HSD11B1","209686178","209734949","1"
"IL4R","27313668","27364778","16"
"IRAK4","43758944","43798307","12"
"ICAM4","10286955","10288522","19"
"DECR1","90001405","90053633","8"
"LY75","159803355","159904756","2"
"ITGA11","68296532","68432163","15"
"AXIN1","287440","352723","16"
"ANXA11","80150889","80205572","10"
"CD4","6786858","6820799","12"
"IL17RB","53846568","53865794","3"
"LTA","31554192","31650629","6"
"PIK3AP1","96593315","96720514","10"
"MGMT","129467190","129770983","10"
"HEXIM1","45148475","45152099","17"
"CLEC4G","7728957","7733906","19"
"NTF3","5432108","5521536","12"
"TNFSF11","42562736","42608013","13"
"MICB_MICA","31480101","31587478","6"
"BANK1","101411286","102074812","4"
"CD200R1","112921205","112975103","3"
"KRT19","41523617","41528308","17"
"PLXNA4","132123340","132648688","7"
"PTPRM","7566782","8406861","18"
"CD70","6583183","6604103","19"
"TGFA","70447284","70554193","2"
"IL5RA","3066324","3126613","3"
"SLAMF7","160739057","160754821","1"
"CD200","112332347","112362812","3"
"GZMB","24630954","24634267","14"
"IL32","3065297","3082192","16"
"LIFR","38474668","38608354","5"
"CD84","160541095","160579516","1"
"RAB6A","73675638","73761137","11"
"CLEC4D","8509475","8522366","12"
"CCL3","36088256","36090511","17"
"TNFSF10","172505508","172523475","3"
"TLR3","186068911","186088073","4"
"CXCL6","73836640","73849064","4"
"PCDH1","141853090","141879246","5"
"HPCAL1","10302889","10427617","2"
"CD40LG","136648158","136660390","X"
"CKAP4","106237881","106304279","12"
"FKBP1B","24049701","24063681","2"
"IDS","149476988","149521096","X"
"DFFA","10456522","10472529","1"
"TGFB1","41301587","41353922","19"
"CXCL17","42428278","42442946","19"
"NUDC","26900238","26946871","1"
"TNFSF12","7548508","7557890","17"
"EIF4G1","184314495","184335358","3"
"BSG","571277","583494","19"
"DNAJA2","46955362","46973674","16"
"CD244","160830160","160862887","1"
"KLRB1","9594551","9607916","12"
"SERPINB8","63970029","64019779","18"
"KLRD1","10226058","10329608","12"
"IL16","81159575","81314058","15"
"NFASC","204828651","205022822","1"
"CD79B","63928738","63932336","17"
"CLEC7A","10116777","10130258","12"
"CD22","35319261","35347361","19"
"LAMP3","183122215","183163839","3"
"FCRL2","157745733","157777132","1"
"LAT","28984826","28990784","16"
"GMPR","16238587","16295549","6"
"TPSAB1","1240379","1242554","16"
"PPP1R9B","50133737","50150677","17"
"PRDX5","64318121","64321811","11"
"ADA","44584896","44652252","20"
"TNFRSF11A","62325287","62391288","18"
"CD160","145719471","145739288","1"
"HCLS1","121631399","121660927","3"
"CD6","60971680","61020377","11"
"VEGFA","43770184","43786487","6"
"ADAM23","206443532","206621127","2"
"IL18R1","102311529","102398777","2"
"TNFRSF4","1211326","1214153","1"
"C1QA","22635077","22639678","1"
"CCL13","34356480","34358610","17"
"HGF","81699010","81770438","7"
"MERTK","111898607","112029561","2"
"AGRP","67482571","67483547","16"
"CTSO","155921580","155953912","4"
"FLT3LG","49474207","49486231","19"
"VEGFD","15345596","15384413","X"
"GZMA","55102646","55110252","5"
"CLSTN2","139935185","140577397","3"
"FASLG","172659103","172666876","1"
"IL12B","159314780","159330863","5"
"CDSN","31107496","31198966","6"
"CCL11","34285742","34288334","17"
"KYNU","142877657","143055833","2"
"LY9","160796074","160828261","1"
"CCL20","227805739","227817564","2"
"MMP1","102789401","102798160","11"
"PGF","74941834","74955626","14"
"CCL25","8052318","8062660","19"
"CXCL9","76001275","76007509","4"
"SMPDL3A","122789049","122809720","6"
"EPHA1","143390289","143408856","7"
"IFNGR1","137197483","137219449","6"
"CTSC","88265069","88359684","11"
"CD276","73683966","73714514","15"
"DBNL","44044640","44069456","7"
"PKLR","155289293","155316838","1"
"NCK2","105744912","105894274","2"
"TIMP3","32801705","32863041","22"
"PLA2G4A","186828949","186988981","1"
"CCL21","34709005","34710136","9"
"MMP10","102770502","102780628","11"
"SCGB1A1","62405103","62423195","11"
"ENPP7","79730943","79742219","17"
"SIGLEC1","3686970","3712600","20"
"F2R","76716126","76735770","5"
"CD48","160678746","160711831","1"
"CCL23","36013056","36018001","17"
"IL18","112143253","112164096","11"
"CCL4","36103827","36106010","17"
"IL10RB","33266367","33311420","21"
"CXCL10","76021118","76023497","4"
"EGF","109912883","110013766","4"
"CRLF1","18572220","18607741","19"
"IL1RN","113099315","113134016","2"
"CRIM1","36355778","36551135","2"
"TNFRSF13B","16929816","16972118","17"
"ANGPTL4","8363289","8374370","19"
"CST7","24949269","24959928","20"
"ERBB3","56076799","56103505","12"
"NELL2","44508275","44921848","12"
"MANF","51385291","51389397","3"
"LY6D","142784882","142786539","8"
"CCN2","131948176","131951372","6"
"GLOD4","757097","782294","17"
"MGLL","127689062","128052190","3"
"DNER","229357629","229714555","2"
"BTN2A1","26457904","26476621","6"
"SHMT1","18327860","18363567","17"
"FGF19","69698238","69704022","11"
"CD58","116514534","116571039","1"
"PTPN6","6946468","6961316","12"
"HSPA1A","31797650","31884975","6"
"CSF1","109910242","109930992","1"
"SPINT2","38244035","38292615","19"
"CKMT1A_CKMT1B","43692886","43699222","15"
"FIS1","101239458","101252316","7"
"SCGB3A2","147870682","147882191","5"
"CD40","46118271","46129863","20"
"OMD","92412380","92424471","9"
"ANGPTL2","127087348","127122635","9"
"GAL","68683779","68691175","11"
"SCG3","51681492","51721026","15"
"PDLIM7","177483394","177497606","5"
"SMOC2","168441151","168673445","6"
"TREM2","41158506","41163186","6"
"MZB1","139387467","139390081","5"
"TNFSF13","7558292","7561608","17"
"ROBO1","78597239","79767998","3"
"TNFRSF11B","118923557","118951885","8"
"ENPP5","46159185","46170980","6"
"LAIR1","54283996","54378912","19"
"COLEC12","316737","500722","18"
"SIRPB1","1561385","1620061","20"
"ANGPT1","107249482","107498055","8"
"PDGFB","39223359","39244982","22"
"CRKL","20917407","20953747","22"
"EPCAM","47345158","47387601","2"
"DNPH1","43225629","43229481","6"
"CCL17","57404767","57416063","16"
"MEGF10","127290796","127465737","5"
"CRHBP","76953045","76981158","5"
"LGALS4","38801671","38812981","19"
"LHPP","124461823","124617888","10"
"TPP1","6612768","6619448","11"
"CRELD2","49918167","49927540","22"
"CTRC","15438442","15449242","1"
"MEPE","87821398","87846814","4"
"CDON","125955796","126063335","11"
"ADGRE2","14732392","14778560","19"
"AGER","32129439","32260750","6"
"IL1R2","101991960","102028544","2"
"ESM1","54977867","55022671","5"
"SPON1","13962723","14268133","11"
"ATP5IF1","28236109","28246906","1"
"SKAP2","26667068","26995239","7"
"CXCL1","73869393","73871308","4"
"PRSS8","31131433","31135727","16"
"PLAUR","43646095","43670547","19"
"CCL22","57358783","57366189","16"
"PRELP","203475806","203491352","1"
"MATN2","97868840","98036724","8"
"LTBR","6375045","6391571","12"
"LAMA4","112107931","112254939","6"
"FST","53480626","53487134","5"
"CHRDL1","110673856","110795819","X"
"CCL24","75810825","75823356","7"
"LGMN","92703807","92748679","14"
"DAG1","49468713","49535618","3"
"PNLIPRP2","116620953","116645143","10"
"OSCAR","54094668","54102746","19"
"PON3","95359872","95396375","7"
"FABP1","88122982","88128062","2"
"MPIG6B","31700763","31802992","6"
"B4GALT1","33104082","33167356","9"
"LGALS9","27629798","27649560","17"
"FSTL3","676392","683392","19"
"TNFRSF14","2555639","2565622","1"
"REG4","119794017","119811580","1"
"WFIKKN2","50834650","50842353","17"
"AGRN","1020120","1056118","1"
"TFF2","42346357","42350997","21"
"CXCL3","74036589","74038807","4"
"NME3","1770320","1771561","16"
"DPEP1","89613308","89638456","16"
"MAP4K5","50418501","50561126","14"
"IL18RAP","102418689","102452565","2"
"CRIP2","105472962","105480162","14"
"PPP3R1","68178857","68256237","2"
"DARS1","135905881","135986100","2"
"MAD1L1","1815793","2233243","7"
"EREG","74365145","74388749","4"
"SKAP1","48133442","48430275","17"
"IMPA1","81656914","81686331","8"
"PTPN1","50510321","50585241","20"
"GGT5","24219654","24245108","22"
"CLPP","6361531","6370242","19"
"PTPRN2","157539056","158587823","7"
"NMNAT1","9943428","9985501","1"
"CRTAM","122838500","122872643","11"
"CSF2RA","1268800","1310381","X"
"PSG1","42866464","42879822","19"
"DRAXIN","11691710","11725857","1"
"EBAG9","109539711","109570072","8"
"ULBP2","149942014","149949235","6"
"NGF","115285904","115338770","1"
"ABHD14B","51968510","51983409","3"
"PHOSPHO1","49223366","49230787","17"
"CRADD","93677375","93894840","12"
"SPOCK1","136975298","137598379","5"
"PAEP","135561756","135566955","9"
"WWP2","69762328","69941741","16"
"APRT","88809339","88811937","16"
"CLEC10A","7074537","7080307","17"
"CHMP1A","89640816","89657738","16"
"NAAA","75913660","75941013","4"
"SERPINB9","2887270","2903309","6"
"GFRA3","138252380","138274621","5"
"DKK4","42374063","42377229","8"
"EFNA4","155063737","155069553","1"
"VWC2","49773638","49921950","7"
"FKBP5","35573585","35728583","6"
"RSPO1","37611350","37634892","1"
"WFIKKN1","629239","634117","16"
"CDCP1","45082277","45146422","3"
"IFNGR2","33403413","33488905","21"
"TBCC","42744498","42746103","6"
"SCARB2","76158737","76234536","4"
"GPC5","91398621","92873682","13"
"LY96","73991392","74029079","8"
"FLRT2","85530144","85654428","14"
"TMPRSS5","113687547","113706373","11"
"SETMAR","4303332","4317265","3"
"GLB1","32996609","33097202","3"
"RHOC","112701127","112707434","1"
"MDGA1","37630679","37699306","6"
"TXLNA","32179675","32198285","1"
"TNFSF14","6661253","6670588","19"
"MASP1","187217282","187291980","3"
"STAMBP","73828916","73873659","2"
"DNMBP","99875577","100009947","10"
"TNR","175315194","175743616","1"
