Filename,SomaScan_Symbol,SomaScan_Sequence_ID,Gene name,Biomart_Chromosome,Biomart_TranscriptStart,Biomart_TranscriptEnd
10722_13_SYK_KSYK.txt.gz,SYK,10722_13,SYK,9,90801787,90898549
10731_10_HS3ST5_HS3S5.txt.gz,HS3ST5,10731_10,HS3ST5,6,114055596,114343023
10734_339_GAL3ST2_G3ST2.txt.gz,GAL3ST2,10734_339,GAL3ST2,2,241776822,241804287
10737_96_SERPINB1_Serpin_B1.txt.gz,SERPINB1,10737_96,SERPINB1,6,2832332,2841959
10748_216_PCDHB2_PCDB2.txt.gz,PCDHB2,10748_216,PCDHB2,5,141094606,141098703
10752_8_CDYL2_CDYL2.txt.gz,CDYL2,10752_8,CDYL2,16,80597907,80804598
10753_31_ADAM7_ADAM7.txt.gz,ADAM7,10753_31,ADAM7,8,24440930,24526970
10754_113_PROK2_Prokineticin_2.txt.gz,PROK2,10754_113,PROK2,3,71771655,71785206
10756_34_UCN3_UCN3.txt.gz,UCN3,10756_34,UCN3,10,5364966,5374692
10758_2_KERA_KERA.txt.gz,KERA,10758_2,KERA,12,91050491,91058024
10760_107_GRIA4_GRIA4.txt.gz,GRIA4,10760_107,GRIA4,11,105609535,105982090
10761_5_TMED2_TMED2.txt.gz,TMED2,10761_5,TMED2,12,123584533,123598582
10762_2_KLRG2_KLRG2.txt.gz,KLRG2,10762_2,KLRG2,7,139452690,139483673
10767_52_GPR64_GPR64.txt.gz,GPR64,10767_52,GPR64,X,18989307,19122637
10772_21_CSGALNACT2_CGAT2.txt.gz,CSGALNACT2,10772_21,CSGALNACT2,10,43138445,43185302
10781_19_CLEC4G_CLC4G.txt.gz,CLEC4G,10781_19,CLEC4G,19,7728957,7733906
10785_8_LRRC52_LRC52.txt.gz,LRRC52,10785_8,LRRC52,1,165544000,165563957
10798_4_CD300E_CLM2.txt.gz,CD300E,10798_4,CD300E,17,74609885,74623738
10800_15_SERPINH1_Collagen_binding_protein.txt.gz,SERPINH1,10800_15,SERPINH1,11,75562056,75572783
10809_14_KLRB1_KLRB1.txt.gz,KLRB1,10809_14,KLRB1,12,9594551,9607916
10814_7_CD1A_CD1A.txt.gz,CD1A,10814_7,CD1A,1,158254424,158258269
10815_2_HABP4_HABP4.txt.gz,HABP4,10815_2,HABP4,9,96450169,96491336
10816_150_PILRA_PILRA_isoform_FDF03_M14.txt.gz,PILRA,10816_150,PILRA,7,100367530,100400096
10817_26_TOMM20L_TO20L.txt.gz,TOMM20L,10817_26,TOMM20L,14,58395928,58408702
10818_36_SMPD1_ASM.txt.gz,SMPD1,10818_36,SMPD1,11,6390440,6394998
10825_12_VSIG10_VSI10.txt.gz,VSIG10,10825_12,VSIG10,12,118063593,118136026
10827_67_LINGO3_LIGO3.txt.gz,LINGO3,10827_67,LINGO3,19,2287164,2308154
10830_5_EFCAB14_K0494.txt.gz,EFCAB14,10830_5,EFCAB14,1,46674659,46719146
10832_24_B4GALT6_B4GT6.txt.gz,B4GALT6,10832_24,B4GALT6,18,31622246,31685836
10833_64_HHIP_HHIP.txt.gz,HHIP,10833_64,HHIP,4,144646156,144745271
10835_25_A4GNT_A4GCT.txt.gz,A4GNT,10835_25,A4GNT,3,138123713,138132390
10842_7_GCNT4_GCNT4.txt.gz,GCNT4,10842_7,GCNT4,5,75025346,75052558
10847_1_SIGLEC15_SIG15.txt.gz,SIGLEC15,10847_1,SIGLEC15,18,45825675,45844094
10848_137_BTNL3_BTNL3.txt.gz,BTNL3,10848_137,BTNL3,5,180988846,181006727
10851_77_EBI3_IL27B.txt.gz,EBI3,10851_77,EBI3,19,4229523,4237528
10852_114_HNRNPDL_HNRDL.txt.gz,HNRNPDL,10852_114,HNRNPDL,4,82422565,82430462
10866_60_SMEK1_P4R3A.txt.gz,SMEK1,10866_60,SMEK1,14,91457508,91510554
10876_300_BRAT1_BRAT1.txt.gz,BRAT1,10876_300,BRAT1,7,2537810,2555694
10880_38_FAM163B_F163B.txt.gz,FAM163B,10880_38,FAM163B,9,133577081,133609389
10882_12_DSC1_Desmocollin_1.txt.gz,DSC1,10882_12,DSC1,18,31129236,31162856
10885_36_C6orf89_CF089.txt.gz,C6orf89,10885_36,C6orf89,6,36871870,36928964
10889_2_MRAP2_MRAP2.txt.gz,MRAP2,10889_2,MRAP2,6,84033772,84090881
10890_135_LCTL_LCTL.txt.gz,LCTL,10890_135,LCTL,15,66547179,66565998
10892_8_OSMR_OSMR.txt.gz,OSMR,10892_8,OSMR,5,38845858,38945596
10895_28_TMPRSS11B_TM11B.txt.gz,TMPRSS11B,10895_28,TMPRSS11B,4,68226653,68245694
10900_272_STMN2_STMN2.txt.gz,STMN2,10900_272,STMN2,8,79611117,79666158
10902_53_ASPRV1_APRV1.txt.gz,ASPRV1,10902_53,ASPRV1,2,69960089,69961631
10903_50_STX8_STX8.txt.gz,STX8,10903_50,STX8,17,9250471,9576591
10907_116_NTM_NTRI.txt.gz,NTM,10907_116,NTM,11,131370478,132336822
10908_2_GALNT13_GLT13.txt.gz,GALNT13,10908_2,GALNT13,2,153871922,154453979
10910_6_CEACAM4_CEAM4.txt.gz,CEACAM4,10910_6,CEACAM4,19,41619015,41627074
10916_44_PLA2R1_PLA2R.txt.gz,PLA2R1,10916_44,PLA2R1,2,159932006,160062615
10917_40_GNGT2_GBGT2.txt.gz,GNGT2,10917_40,GNGT2,17,49202791,49210574
10924_258_CYB5D2_NEUFC.txt.gz,CYB5D2,10924_258,CYB5D2,17,4143168,4187310
10933_107_CALN1_CABP8.txt.gz,CALN1,10933_107,CALN1,7,71779491,72447151
10938_13_CD58_sLFA_3.txt.gz,CD58,10938_13,CD58,1,116514534,116571039
10939_16_PLEKHA4_PKHA4.txt.gz,PLEKHA4,10939_16,PLEKHA4,19,48837092,48868617
10940_25_SRL_SRCA.txt.gz,SRL,10940_25,SRL,16,4189374,4242080
10945_11_STX6_Syntaxin_6.txt.gz,STX6,10945_11,STX6,1,180972712,181023121
10948_14_PLD3_PLD3.txt.gz,PLD3,10948_14,PLD3,19,40348456,40389472
10949_59_RPLP2_RLA2.txt.gz,RPLP2,10949_59,RPLP2,11,809965,812880
10953_14_CLEC2A_CLC2A.txt.gz,CLEC2A,10953_14,CLEC2A,12,9898673,9932370
10955_4_CLEC10A_CLC10.txt.gz,CLEC10A,10955_4,CLEC10A,17,7074537,7080307
10956_82_GCSH_GCSH.txt.gz,GCSH,10956_82,GCSH,16,81081945,81096395
10959_125_BET1L_BET1L.txt.gz,BET1L,10959_125,BET1L,11,167784,207399
10961_15_RARRES3_TIG3.txt.gz,RARRES3,10961_15,RARRES3,11,63536808,63546462
10974_20_SPINK7_ISK7.txt.gz,SPINK7,10974_20,SPINK7,5,148312419,148315922
10975_59_MUCL1_MUCL1.txt.gz,MUCL1,10975_59,MUCL1,12,54830518,54896008
10977_55_UCMA_UCMA.txt.gz,UCMA,10977_55,UCMA,10,13221766,13234374
10978_39_GH2_SOM2.txt.gz,GH2,10978_39,GH2,17,63880215,63881944
10981_56_NRG3_NRG3.txt.gz,NRG3,10981_56,NRG3,10,81875194,82987179
10990_21_LRRK2_LRRK2.txt.gz,LRRK2,10990_21,LRRK2,12,40196744,40369285
11067_13_BGLAP_Osteocalcin.txt.gz,BGLAP,11067_13,BGLAP,1,156242184,156243317
11071_1_IL5_IL_5.txt.gz,IL5,11071_1,IL5,5,132541445,132556838
11094_104_CLC_LPPL.txt.gz,CLC,11094_104,CLC,19,39731255,39738029
11096_57_N6AMT1_HEMK2.txt.gz,N6AMT1,11096_57,N6AMT1,21,28872191,28885371
11098_1_PDXK_PDXK.txt.gz,PDXK,11098_1,PDXK,21,43719094,43762307
11101_18_TLR4_TLR4.txt.gz,TLR4,11101_18,TLR4,9,117704175,117724735
11102_22_REG4_REG4.txt.gz,REG4,11102_22,REG4,1,119794017,119811580
11103_24_HSPB1_HSP_27.txt.gz,HSPB1,11103_24,HSPB1,7,76302673,76304295
11104_13_CHI3L1_YKL_40.txt.gz,CHI3L1,11104_13,CHI3L1,1,203178931,203186704
11105_171_ENO1_Alpha_enolase.txt.gz,ENO1,11105_171,ENO1,1,8861000,8879190
11107_25_TENM3_TEN3.txt.gz,TENM3,11107_25,TENM3,4,182143987,182803024
11109_56_SVEP1_SVEP1.txt.gz,SVEP1,11109_56,SVEP1,9,110365248,110579880
11110_4_TMEM119_TM119.txt.gz,TMEM119,11110_4,TMEM119,12,108589851,108598320
11112_18_TMEM167A_KISHA.txt.gz,TMEM167A,11112_18,TMEM167A,5,83052846,83077863
11116_16_C11orf87_CK087.txt.gz,C11orf87,11116_16,C11orf87,11,109422190,109429167
11117_2_SPATA20_SPT20.txt.gz,SPATA20,11117_2,SPATA20,17,50543058,50555852
11118_107_RAB17_RAB17.txt.gz,RAB17,11118_107,RAB17,2,237574322,237601614
11120_49_NAT14_NAT14.txt.gz,NAT14,11120_49,NAT14,19,55485188,55487568
11122_97_SPG21_SPG21.txt.gz,SPG21,11122_97,SPG21,15,64963022,64990310
11126_102_TRIO_TRIO.txt.gz,TRIO,11126_102,TRIO,5,14143342,14532128
11128_29_TMEM132C_T132C.txt.gz,TMEM132C,11128_29,TMEM132C,12,128267170,128707911
11129_66_BMP15_BMP15.txt.gz,BMP15,11129_66,BMP15,X,50910735,50916641
11130_158_CACNB4_CACB4.txt.gz,CACNB4,11130_158,CACNB4,2,151832771,152099167
11134_30_MTRF1L_RF1ML.txt.gz,MTRF1L,11134_30,MTRF1L,6,152987362,153002709
11135_5_MRPL55_RM55.txt.gz,MRPL55,11135_5,MRPL55,1,228106679,228109312
11137_43_CSF2RB_IL3RB.txt.gz,CSF2RB,11137_43,CSF2RB,22,36913628,36940439
11138_16_RUNX3_RUNX3.txt.gz,RUNX3,11138_16,RUNX3,1,24899511,24965121
11140_56_COL1A1_CO1A1.txt.gz,COL1A1,11140_56,COL1A1,17,50184101,50201632
11142_11_ANGPTL1_ANGL1.txt.gz,ANGPTL1,11142_11,ANGPTL1,1,178849535,178871077
11143_32_OLFM3_NOE3.txt.gz,OLFM3,11143_32,OLFM3,1,101802560,101996926
11144_10_DEFB116_DB116.txt.gz,DEFB116,11144_10,DEFB116,20,31303212,31308585
11145_72_KIAA1549L_K154L.txt.gz,KIAA1549L,11145_72,KIAA1549L,11,33376108,33674102
11146_4_TBX22_TBX22.txt.gz,TBX22,11146_4,TBX22,X,80014753,80031774
11147_17_TREML1_TRML1.txt.gz,TREML1,11147_17,TREML1,6,41149337,41154347
11149_3_TLR1_TLR1.txt.gz,TLR1,11149_3,TLR1,4,38790677,38856817
11152_46_KLK13_kallikrein_13.txt.gz,KLK13,11152_46,KLK13,19,51055626,51065114
11154_3_NFE2L1_NF2L1.txt.gz,NFE2L1,11154_3,NFE2L1,17,48048329,48061545
11155_16_COL6A5_CO6A5.txt.gz,COL6A5,11155_16,COL6A5,3,130345516,130484846
11158_40_CCDC64_BICR1.txt.gz,CCDC64,11158_40,CCDC64,12,119989236,120094494
11160_56_RNF122_RN122.txt.gz,RNF122,11160_56,RNF122,8,33547754,33567128
11161_5_SPG20_SPG20.txt.gz,SPG20,11161_5,SPG20,13,36301638,36370180
11162_37_EQTN_EQTN.txt.gz,EQTN,11162_37,EQTN,9,27284654,27297150
11163_7_FAM162B_F162B.txt.gz,FAM162B,11163_7,FAM162B,6,116752197,116765719
11164_7_TENM2_TEN2.txt.gz,TENM2,11164_7,TENM2,5,166979029,168264157
11167_6_MTMR1_MTMR1.txt.gz,MTMR1,11167_6,MTMR1,X,150692971,150765108
