FileLocation,filenames,Symbol,UniprotID,Kit,gene,Biomarker_TSS_Start,Biomarker_TSS_End,Chromosome_edit
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_STAM:Q92783:Oncology_II.tsv.gz,discovery_RS2_STAM:Q92783:Oncology_II.tsv.gz,STAM,Q92783,Oncology_II,STAM,17644151,17716824,10
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_PLA2G4A:P47712:Inflammation.tsv.gz,discovery_RS2_PLA2G4A:P47712:Inflammation.tsv.gz,PLA2G4A,P47712,Inflammation,PLA2G4A,186828949,186988981,1
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_ICA1:Q05084:Inflammation.tsv.gz,discovery_RS2_ICA1:Q05084:Inflammation.tsv.gz,ICA1,Q05084,Inflammation,ICA1,8113184,8262687,7
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_CCL14:Q16627:Cardiometabolic.tsv.gz,discovery_RS2_CCL14:Q16627:Cardiometabolic.tsv.gz,CCL14,Q16627,Cardiometabolic,CCL14,35983288,35987036,17
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_TGFBR2:P37173:Oncology.tsv.gz,discovery_RS2_TGFBR2:P37173:Oncology.tsv.gz,TGFBR2,P37173,Oncology,TGFBR2,30606601,30694142,3
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_PAFAH2:Q99487:Oncology_II.tsv.gz,discovery_RS2_PAFAH2:Q99487:Oncology_II.tsv.gz,PAFAH2,Q99487,Oncology_II,PAFAH2,25959767,25998117,1
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_TOP1:P11387:Oncology_II.tsv.gz,discovery_RS2_TOP1:P11387:Oncology_II.tsv.gz,TOP1,P11387,Oncology_II,TOP1,41028822,41124487,20
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_FGF12:P61328:Inflammation_II.tsv.gz,discovery_RS2_FGF12:P61328:Inflammation_II.tsv.gz,FGF12,P61328,Inflammation_II,FGF12,192139390,192767764,3
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_IL18:Q14116:Inflammation.tsv.gz,discovery_RS2_IL18:Q14116:Inflammation.tsv.gz,IL18,Q14116,Inflammation,IL18,112143253,112164096,11
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_IL1R1:P14778:Neurology.tsv.gz,discovery_RS2_IL1R1:P14778:Neurology.tsv.gz,IL1R1,P14778,Neurology,IL1R1,102064544,102179874,2
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_AZI2:Q9H6S1:Neurology_II.tsv.gz,discovery_RS2_AZI2:Q9H6S1:Neurology_II.tsv.gz,AZI2,Q9H6S1,Neurology_II,AZI2,28315003,28349050,3
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_OTOA:Q7RTW8:Neurology_II.tsv.gz,discovery_RS2_OTOA:Q7RTW8:Neurology_II.tsv.gz,OTOA,Q7RTW8,Neurology_II,OTOA,21663968,21761935,16
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_DRG2:P55039:Oncology.tsv.gz,discovery_RS2_DRG2:P55039:Oncology.tsv.gz,DRG2,P55039,Oncology,DRG2,18087892,18107970,17
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_PALLD:Q8WX93:Inflammation_II.tsv.gz,discovery_RS2_PALLD:Q8WX93:Inflammation_II.tsv.gz,PALLD,Q8WX93,Inflammation_II,PALLD,168497052,168928457,4
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_RAB11FIP3:O75154:Cardiometabolic_II.tsv.gz,discovery_RS2_RAB11FIP3:O75154:Cardiometabolic_II.tsv.gz,RAB11FIP3,O75154,Cardiometabolic_II,RAB11FIP3,425619,526533,16
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_DNM1:Q05193:Oncology_II.tsv.gz,discovery_RS2_DNM1:Q05193:Oncology_II.tsv.gz,DNM1,Q05193,Oncology_II,DNM1,128191655,128255248,9
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_TLR4:O00206:Inflammation_II.tsv.gz,discovery_RS2_TLR4:O00206:Inflammation_II.tsv.gz,TLR4,O00206,Inflammation_II,TLR4,117704175,117724735,9
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_DUT:P33316:Oncology_II.tsv.gz,discovery_RS2_DUT:P33316:Oncology_II.tsv.gz,DUT,P33316,Oncology_II,DUT,48331011,48343373,15
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_MARS1:P56192:Inflammation_II.tsv.gz,discovery_RS2_MARS1:P56192:Inflammation_II.tsv.gz,MARS1,P56192,Inflammation_II,MARS1,57475445,57517569,12
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_DPY30:Q9C005:Oncology.tsv.gz,discovery_RS2_DPY30:Q9C005:Oncology.tsv.gz,DPY30,Q9C005,Oncology,DPY30,31867809,32039805,2
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_SCN2B:O60939:Neurology_II.tsv.gz,discovery_RS2_SCN2B:O60939:Neurology_II.tsv.gz,SCN2B,O60939,Neurology_II,SCN2B,118162806,118176639,11
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_SPTBN2:O15020:Neurology_II.tsv.gz,discovery_RS2_SPTBN2:O15020:Neurology_II.tsv.gz,SPTBN2,O15020,Neurology_II,SPTBN2,66682497,66744670,11
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_CALCOCO1:Q9P1Z2:Oncology.tsv.gz,discovery_RS2_CALCOCO1:Q9P1Z2:Oncology.tsv.gz,CALCOCO1,Q9P1Z2,Oncology,CALCOCO1,53708517,53727745,12
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_CD226:Q15762:Inflammation_II.tsv.gz,discovery_RS2_CD226:Q15762:Inflammation_II.tsv.gz,CD226,Q15762,Inflammation_II,CD226,69831158,69961803,18
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_PCBP2:Q15366:Neurology_II.tsv.gz,discovery_RS2_PCBP2:Q15366:Neurology_II.tsv.gz,PCBP2,Q15366,Neurology_II,PCBP2,53452102,53481162,12
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_AGR2:O95994:Neurology.tsv.gz,discovery_RS2_AGR2:O95994:Neurology.tsv.gz,AGR2,O95994,Neurology,AGR2,16791811,16833433,7
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_SOD3:P08294:Inflammation_II.tsv.gz,discovery_RS2_SOD3:P08294:Inflammation_II.tsv.gz,SOD3,P08294,Inflammation_II,SOD3,24789912,24800842,4
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_TXK:P42681:Oncology_II.tsv.gz,discovery_RS2_TXK:P42681:Oncology_II.tsv.gz,TXK,P42681,Oncology_II,TXK,48066393,48134250,4
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_FUT1:P19526:Oncology_II.tsv.gz,discovery_RS2_FUT1:P19526:Oncology_II.tsv.gz,FUT1,P19526,Oncology_II,FUT1,48748011,48755390,19
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_IQGAP2:Q13576:Oncology.tsv.gz,discovery_RS2_IQGAP2:Q13576:Oncology.tsv.gz,IQGAP2,Q13576,Oncology,IQGAP2,76403285,76708132,5
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_SERPINA6:P08185:Inflammation_II.tsv.gz,discovery_RS2_SERPINA6:P08185:Inflammation_II.tsv.gz,SERPINA6,P08185,Inflammation_II,SERPINA6,94304248,94323394,14
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_COLEC12:Q5KU26:Inflammation.tsv.gz,discovery_RS2_COLEC12:Q5KU26:Inflammation.tsv.gz,COLEC12,Q5KU26,Inflammation,COLEC12,316737,500722,18
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_EPHB6:O15197:Neurology.tsv.gz,discovery_RS2_EPHB6:O15197:Neurology.tsv.gz,EPHB6,O15197,Neurology,EPHB6,142855061,142932255,7
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_STX3:Q13277:Neurology_II.tsv.gz,discovery_RS2_STX3:Q13277:Neurology_II.tsv.gz,STX3,Q13277,Neurology_II,STX3,59713456,59805882,11
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_IL20RA:Q9UHF4:Inflammation.tsv.gz,discovery_RS2_IL20RA:Q9UHF4:Inflammation.tsv.gz,IL20RA,Q9UHF4,Inflammation,IL20RA,136999971,137045180,6
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_ENPP7:Q6UWV6:Inflammation.tsv.gz,discovery_RS2_ENPP7:Q6UWV6:Inflammation.tsv.gz,ENPP7,Q6UWV6,Inflammation,ENPP7,79730943,79742219,17
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_KLK8:O60259:Oncology.tsv.gz,discovery_RS2_KLK8:O60259:Oncology.tsv.gz,KLK8,O60259,Oncology,KLK8,50996007,51002711,19
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_DNAJB1:P25685:Oncology.tsv.gz,discovery_RS2_DNAJB1:P25685:Oncology.tsv.gz,DNAJB1,P25685,Oncology,DNAJB1,14514769,14560391,19
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_GET3:O43681:Cardiometabolic_II.tsv.gz,discovery_RS2_GET3:O43681:Cardiometabolic_II.tsv.gz,GET3,O43681,Cardiometabolic_II,GET3,12737139,12748323,19
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_CD48:P09326:Inflammation.tsv.gz,discovery_RS2_CD48:P09326:Inflammation.tsv.gz,CD48,P09326,Inflammation,CD48,160678746,160711831,1
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_AMY2B:P19961:Cardiometabolic.tsv.gz,discovery_RS2_AMY2B:P19961:Cardiometabolic.tsv.gz,AMY2B,P19961,Cardiometabolic,AMY2B,103553815,103579534,1
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_LIFR:P42702:Inflammation.tsv.gz,discovery_RS2_LIFR:P42702:Inflammation.tsv.gz,LIFR,P42702,Inflammation,LIFR,38474668,38608354,5
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_VSTM2L:Q96N03:Cardiometabolic.tsv.gz,discovery_RS2_VSTM2L:Q96N03:Cardiometabolic.tsv.gz,VSTM2L,Q96N03,Cardiometabolic,VSTM2L,37903111,37945350,20
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_CD33:P20138:Oncology.tsv.gz,discovery_RS2_CD33:P20138:Oncology.tsv.gz,CD33,P20138,Oncology,CD33,51225064,51243860,19
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_SNCA:P37840:Inflammation_II.tsv.gz,discovery_RS2_SNCA:P37840:Inflammation_II.tsv.gz,SNCA,P37840,Inflammation_II,SNCA,89700345,89838315,4
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_DPT:Q07507:Cardiometabolic.tsv.gz,discovery_RS2_DPT:Q07507:Cardiometabolic.tsv.gz,DPT,Q07507,Cardiometabolic,DPT,168695468,168729206,1
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_ITGB2:P05107:Cardiometabolic.tsv.gz,discovery_RS2_ITGB2:P05107:Cardiometabolic.tsv.gz,ITGB2,P05107,Cardiometabolic,ITGB2,44885953,44931989,21
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_LRG1:P02750:Inflammation_II.tsv.gz,discovery_RS2_LRG1:P02750:Inflammation_II.tsv.gz,LRG1,P02750,Inflammation_II,LRG1,4536402,4540036,19
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_ZBP1:Q9H171:Inflammation_II.tsv.gz,discovery_RS2_ZBP1:Q9H171:Inflammation_II.tsv.gz,ZBP1,Q9H171,Inflammation_II,ZBP1,57603846,57620576,20
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_ING1:Q9UK53:Neurology.tsv.gz,discovery_RS2_ING1:Q9UK53:Neurology.tsv.gz,ING1,Q9UK53,Neurology,ING1,110712736,110723339,13
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_DOC2B:Q14184:Neurology_II.tsv.gz,discovery_RS2_DOC2B:Q14184:Neurology_II.tsv.gz,DOC2B,Q14184,Neurology_II,DOC2B,142789,181650,17
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_INSR:P06213:Inflammation_II.tsv.gz,discovery_RS2_INSR:P06213:Inflammation_II.tsv.gz,INSR,P06213,Inflammation_II,INSR,7112255,7294414,19
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_UFD1:Q92890:Oncology_II.tsv.gz,discovery_RS2_UFD1:Q92890:Oncology_II.tsv.gz,UFD1,Q92890,Oncology_II,UFD1,19449911,19479202,22
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_EFNA1:P20827:Neurology.tsv.gz,discovery_RS2_EFNA1:P20827:Neurology.tsv.gz,EFNA1,P20827,Neurology,EFNA1,155127876,155134899,1
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_UBAC1:Q9BSL1:Oncology.tsv.gz,discovery_RS2_UBAC1:Q9BSL1:Oncology.tsv.gz,UBAC1,Q9BSL1,Oncology,UBAC1,135932969,135961373,9
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_TIMM10:P62072:Cardiometabolic_II.tsv.gz,discovery_RS2_TIMM10:P62072:Cardiometabolic_II.tsv.gz,TIMM10,P62072,Cardiometabolic_II,TIMM10,57528464,57530803,11
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_PDCD1LG2:Q9BQ51:Oncology.tsv.gz,discovery_RS2_PDCD1LG2:Q9BQ51:Oncology.tsv.gz,PDCD1LG2,Q9BQ51,Oncology,PDCD1LG2,5510531,5571282,9
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_SATB1:Q01826:Neurology_II.tsv.gz,discovery_RS2_SATB1:Q01826:Neurology_II.tsv.gz,SATB1,Q01826,Neurology_II,SATB1,18345377,18445621,3
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_KIF22:Q14807:Cardiometabolic_II.tsv.gz,discovery_RS2_KIF22:Q14807:Cardiometabolic_II.tsv.gz,KIF22,Q14807,Cardiometabolic_II,KIF22,29790727,29805385,16
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_ECSCR:Q19T08:Neurology_II.tsv.gz,discovery_RS2_ECSCR:Q19T08:Neurology_II.tsv.gz,ECSCR,Q19T08,Neurology_II,ECSCR,139448560,139462743,5
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_TMOD4:Q9NZQ9:Oncology_II.tsv.gz,discovery_RS2_TMOD4:Q9NZQ9:Oncology_II.tsv.gz,TMOD4,Q9NZQ9,Oncology_II,TMOD4,151169986,151176284,1
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_ATXN2:Q99700:Neurology_II.tsv.gz,discovery_RS2_ATXN2:Q99700:Neurology_II.tsv.gz,ATXN2,Q99700,Neurology_II,ATXN2,111443485,111599676,12
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_MAPKAPK2:P49137:Oncology_II.tsv.gz,discovery_RS2_MAPKAPK2:P49137:Oncology_II.tsv.gz,MAPKAPK2,P49137,Oncology_II,MAPKAPK2,206684905,206734281,1
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_ADGRG2:Q8IZP9:Cardiometabolic.tsv.gz,discovery_RS2_ADGRG2:Q8IZP9:Cardiometabolic.tsv.gz,ADGRG2,Q8IZP9,Cardiometabolic,ADGRG2,18989307,19122637,X
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_GSAP:A4D1B5:Oncology.tsv.gz,discovery_RS2_GSAP:A4D1B5:Oncology.tsv.gz,GSAP,A4D1B5,Oncology,GSAP,77310751,77416349,7
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_MORF4L2:Q15014:Oncology_II.tsv.gz,discovery_RS2_MORF4L2:Q15014:Oncology_II.tsv.gz,MORF4L2,Q15014,Oncology_II,MORF4L2,103675496,103688158,X
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_BAG6:P46379:Cardiometabolic.tsv.gz,discovery_RS2_BAG6:P46379:Cardiometabolic.tsv.gz,BAG6,P46379,Cardiometabolic,BAG6,31621198,31728984,6
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_RCOR1:Q9UKL0:Cardiometabolic.tsv.gz,discovery_RS2_RCOR1:Q9UKL0:Cardiometabolic.tsv.gz,RCOR1,Q9UKL0,Cardiometabolic,RCOR1,102592649,102730561,14
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_ENTPD5:O75356:Cardiometabolic.tsv.gz,discovery_RS2_ENTPD5:O75356:Cardiometabolic.tsv.gz,ENTPD5,O75356,Cardiometabolic,ENTPD5,73958010,74019399,14
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_FOLH1:Q04609:Inflammation_II.tsv.gz,discovery_RS2_FOLH1:Q04609:Inflammation_II.tsv.gz,FOLH1,Q04609,Inflammation_II,FOLH1,49145092,49208638,11
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_MMP3:P08254:Neurology.tsv.gz,discovery_RS2_MMP3:P08254:Neurology.tsv.gz,MMP3,P08254,Neurology,MMP3,102835801,102843609,11
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_ACSL1:P33121:Cardiometabolic_II.tsv.gz,discovery_RS2_ACSL1:P33121:Cardiometabolic_II.tsv.gz,ACSL1,P33121,Cardiometabolic_II,ACSL1,184755595,184826818,4
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_KHK:P50053:Cardiometabolic_II.tsv.gz,discovery_RS2_KHK:P50053:Cardiometabolic_II.tsv.gz,KHK,P50053,Cardiometabolic_II,KHK,27086772,27100762,2
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_GAS6:Q14393:Cardiometabolic.tsv.gz,discovery_RS2_GAS6:Q14393:Cardiometabolic.tsv.gz,GAS6,Q14393,Cardiometabolic,GAS6,113820549,113864076,13
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_ADA2:Q9NZK5:Cardiometabolic.tsv.gz,discovery_RS2_ADA2:Q9NZK5:Cardiometabolic.tsv.gz,ADA2,Q9NZK5,Cardiometabolic,ADA2,17178790,17258235,22
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_AGXT:P21549:Cardiometabolic.tsv.gz,discovery_RS2_AGXT:P21549:Cardiometabolic.tsv.gz,AGXT,P21549,Cardiometabolic,AGXT,240868824,240880502,2
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_TP53INP1:Q96A56:Cardiometabolic.tsv.gz,discovery_RS2_TP53INP1:Q96A56:Cardiometabolic.tsv.gz,TP53INP1,Q96A56,Cardiometabolic,TP53INP1,94925972,94949378,8
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_MMP10:P09238:Inflammation.tsv.gz,discovery_RS2_MMP10:P09238:Inflammation.tsv.gz,MMP10,P09238,Inflammation,MMP10,102770502,102780628,11
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_LCN2:P80188:Cardiometabolic.tsv.gz,discovery_RS2_LCN2:P80188:Cardiometabolic.tsv.gz,LCN2,P80188,Cardiometabolic,LCN2,128149071,128153453,9
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_POLR2A:P24928:Inflammation_II.tsv.gz,discovery_RS2_POLR2A:P24928:Inflammation_II.tsv.gz,POLR2A,P24928,Inflammation_II,POLR2A,7484366,7514616,17
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_TCL1B:O95988:Cardiometabolic.tsv.gz,discovery_RS2_TCL1B:O95988:Cardiometabolic.tsv.gz,TCL1B,O95988,Cardiometabolic,TCL1B,95686426,95692628,14
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_EIF4B:P23588:Neurology.tsv.gz,discovery_RS2_EIF4B:P23588:Neurology.tsv.gz,EIF4B,P23588,Neurology,EIF4B,53006282,53042215,12
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_WARS:P23381:Neurology.tsv.gz,discovery_RS2_WARS:P23381:Neurology.tsv.gz,WARS,P23381,Neurology,WARS,100333790,100376805,14
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_KIRREL2:Q6UWL6:Neurology.tsv.gz,discovery_RS2_KIRREL2:Q6UWL6:Neurology.tsv.gz,KIRREL2,Q6UWL6,Neurology,KIRREL2,35855861,35867136,19
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_ANGPTL2:Q9UKU9:Inflammation.tsv.gz,discovery_RS2_ANGPTL2:Q9UKU9:Inflammation.tsv.gz,ANGPTL2,Q9UKU9,Inflammation,ANGPTL2,127087348,127122635,9
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_REG1A:P05451:Cardiometabolic.tsv.gz,discovery_RS2_REG1A:P05451:Cardiometabolic.tsv.gz,REG1A,P05451,Cardiometabolic,REG1A,79120362,79123409,2
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_FCRL2:Q96LA5:Inflammation.tsv.gz,discovery_RS2_FCRL2:Q96LA5:Inflammation.tsv.gz,FCRL2,Q96LA5,Inflammation,FCRL2,157745733,157777132,1
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_EIF4G3:O43432:Neurology_II.tsv.gz,discovery_RS2_EIF4G3:O43432:Neurology_II.tsv.gz,EIF4G3,O43432,Neurology_II,EIF4G3,20806292,21177285,1
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_GATA3:P23771:Oncology_II.tsv.gz,discovery_RS2_GATA3:P23771:Oncology_II.tsv.gz,GATA3,P23771,Oncology_II,GATA3,8045378,8075198,10
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_CTRC:Q99895:Inflammation.tsv.gz,discovery_RS2_CTRC:Q99895:Inflammation.tsv.gz,CTRC,Q99895,Inflammation,CTRC,15438442,15449242,1
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_PGM2:Q96G03:Neurology_II.tsv.gz,discovery_RS2_PGM2:Q96G03:Neurology_II.tsv.gz,PGM2,Q96G03,Neurology_II,PGM2,37826660,37862937,4
